Bezirk,Key_Locations
Mitte,"Friedrichstraße, Unter den Linden, Alexanderplatz, Hackescher Markt, Leipziger Straße"
Charlottenburg-Wilmersdorf,"Kurfürstendamm, Schloßstraße, Uhlandstraße, Tauentzienstraße"
Neukölln,"Sonnenallee, Karl-Marx-Straße, Hermannstraße, Flughafenstraße"
Friedrichshain-Kreuzberg,"Warschauer Straße, Boxhagener Platz, Oranienstraße, Kottbusser Damm, Bergmannstraße"
Pankow,"Schönhauser Allee, Prenzlauer Allee, Greifswalder Straße"
Steglitz-Zehlendorf,"Schloßstraße (Steglitz), Clayallee"
Tempelhof-Schöneberg,"Tempelhofer Damm, Hauptstraße, Akazienstraße"
Spandau,"Altstadt Spandau, Wilhelmstraße, Brunsbütteler Damm"
Reinickendorf,"Alt-Tegel, Residenzstraße, Markstraße"
Lichtenberg,"Weitlingstraße, Frankfurter Allee, Möllendorffstraße"
Marzahn-Hellersdorf,"Marzahner Promenade, Mehrower Allee"
Treptow-Köpenick,"Bahnhofstraße (Köpenick), Salvador-Allende-Straße"
