Bezirk,Area_km2,Population,Ortsteile_Count,Highlights
Mitte,39.5,385000,6,مركز العاصمة – مزيج دولي – برلمان – Friedrichstraße – Alexanderplatz
Friedrichshain-Kreuzberg,20.2,290000,2,ثقافي، شبابي، فن حضري، شارع العرب Kreuzberg، Warschauer Straße
Pankow,103.1,417000,13,سكني عائلي راقٍ، Prenzlauer Berg من أغنى المناطق
Charlottenburg-Wilmersdorf,64.7,344000,7,مناطق راقية، Ku’damm – التسوق الفاخر، صالونات راقية
Spandau,91.9,245000,9,منطقة تاريخية، سكنية تقليدية، مجتمعات عربية وشرق أوسطية
Steglitz-Zehlendorf,102.5,310000,8,أعلى مستوى معيشة في برلين، Schloßstraße – تسوق راقٍ
Tempelhof-Schöneberg,53.1,351000,6,طبقة متوسطة عليا، حي LGBTQ، Akazienstraße – تجاري محلي
Neukölln,44.9,331000,5,أقوى وجود عربي وتركي – Sonnenallee – Hermannstraße – Karl-Marx
Treptow-Köpenick,168.4,280000,15,أكبر مناطق برلين – طبيعة وخدمات سكنية – Köpenick
Marzahn-Hellersdorf,61.7,271000,5,عائلي، منخفض الدخل، مراكز تسوق داخلية – Marzahner Promenade
Lichtenberg,52.3,296000,10,طبقة عاملة، سكني، يتضمن مزيجًا ألمانيًا روسيًا
Reinickendorf,89.5,268000,11,شمالي، عائلي، Alt-Tegel وResidenzstraße مناطق نشطة
