#;Prüfpunkt;Details;Ergebnis (OK/Nacharbeit);Bemerkungen
1;1. Produktzustand;Flasche/Tube unbeschädigt, keine Kratzer, Etikett sauber, korrekt.;;
2;2. Versiegelung;Sicherheits‑Siegel intakt, kein Auslaufen.;;
3;3. Batch/Expiry;Batch‑Nr. und MHD gut lesbar, dokumentiert.;;
4;4. Zubehör/Einlagen;Beileger vorhanden (Pflege‑Tipps, Punkte‑Info, Widerruf QR).;;
5;5. Verpackung innen;Schutzmaterial ausreichend, kein Spielraum übermäßig.;;
6;6. Karton außen;Stabil, sauber, Label‑Bereich frei.;;
7;7. Rechnung/Packliste;Beigelegt oder per E‑Mail gesendet (keine Preisanzeige bei Geschenk).;;
8;8. Versandlabel;Gut haftend, scannbar, richtige Adresse.;;
9;9. Retoure‑Hinweis;Kurzanleitung Rückgabe (QR zum Formular).;;
10;10. Foto‑Beweis (Stichprobe);Vor Schließen des Kartons (5% der Sendungen).;;
