Name (DE),Slug,Parent,Description (DE)
Bartpflege,bartpflege,,"Pflege, die wirkt: Bartöl, Balm, Shampoo und Tonic für einen kräftigen, gepflegten Bart – mit maskulinen Duftwelten und salongetesteten Formeln. Für tägliche Anwendung und sichtbare Ergebnisse."
Rasur & Pflege,rasur-pflege,,"Präzise Rasur, sofort beruhigte Haut: Ultra-Gleitfilm mit Shaving Gel und Pflege mit After Shave & Balm. Maskuline Frische, weniger Irritationen."
Haare & Styling,haare-styling,,"Volle Kontrolle über Look & Halt: Shampoos & Conditioner für Pflege, Waxes & Sprays für Finish – matt oder glänzend, immer zuverlässig."
Gesicht & Körper,gesicht-koerper,,"Saubere, gepflegte Haut: Peeling, Masken und 3-in-1 Pflege für einen frischen, ebenmäßigen Teint – einfach in der Anwendung, stark im Ergebnis."
Sets & Kits,sets-kits,,Perfekt kombinierte Produkte für Routine & Geschenk – vom kompakten 3-in-1 bis zum umfangreichen 6-in-1 Beard Kit.
Neuheiten,neuheiten,,"Frisch eingetroffen: neue Düfte, Formulierungen und limitierte Editionen. Jetzt zuerst entdecken."
Bestseller,bestseller,,"Die beliebtesten Produkte unserer Community – bewährte Performance, starke Ergebnisse."
Zubehör,zubehoer,,"Praktische Tools für Styling & Pflege – Kämme, Bürsten und mehr."
Sonstiges,sonstiges,,Weitere Produkte und Aktionen.
Bartöl,bartoel,Bartpflege,"Nährt, bändigt & verleiht Glanz – mit hochwertigen Ölen."
Bartbalsam,bartbalsam,Bartpflege,"Formt & pflegt – weicher, kontrollierter Bart."
Bartshampoo,bartshampoo,Bartpflege,Sanfte Reinigung & Frische für jeden Tag.
Bart Tonic,bart-tonic,Bartpflege,Kräftigung & Pflege – Frischekick für Bart & Haut.
Silicon Velvet,silicon-velvet,Bartpflege,Sofortige Glättung & Schutz – Anti-Frizz Finish.
Bartsets & Kits,bartsets-kits,Bartpflege,Perfekt abgestimmte Sets für Routine & Geschenk.
Shaving Gel,shaving-gel,Rasur & Pflege,Maximaler Gleitfilm & Präzision bei jeder Rasur.
After Shave,after-shave,Rasur & Pflege,"Erfrischt, kühlt & reduziert Rasurbrand."
After Shave Balm,after-shave-balm,Rasur & Pflege,Beruhigt und pflegt – schnell einziehende Formel.
After Shave Cologne,after-shave-cologne,Rasur & Pflege,Maskulines Eau de Cologne nach der Rasur.
Shampoo,shampoo,Haare & Styling,Gründliche Reinigung & Frische – tägliche Pflege.
Sulfate-Free Shampoo,sulfate-free-shampoo,Haare & Styling,Sanfte Pflege ohne Sulfate – mehr Glanz & Geschmeidigkeit.
Conditioner,conditioner,Haare & Styling,Feuchtigkeit & Pflege für spürbar geschmeidiges Haar.
Leave-In/Serum,leave-in-serum,Haare & Styling,Leichte Pflege ohne Ausspülen – Glanz & Schutz.
Hair Spray,hair-spray,Haare & Styling,Extra starker Halt & Finish in Salonqualität.
Stain Remover,stain-remover,Haare & Styling,Spezialreiniger für Farbe & Stylingreste – salongeeignet.
Wachs & Pomaden,wachs-pomade,Haare & Styling,Flexibler Halt & definiertes Finish für moderne Looks.
Aqua Wax,aqua-wax,Wachs & Pomaden,Glänzendes Finish mit starkem Halt.
Black Wax,black-wax,Wachs & Pomaden,Definierter Look mit dunklem Finish.
Matte Wax,matte-wax,Wachs & Pomaden,"Natürlich matt, formbar und langanhaltend."
Clay Wax,clay-wax,Wachs & Pomaden,Struktur & Textur mit mattem Finish.
Spider Wax,spider-wax,Wachs & Pomaden,Elastischer Faden-Effekt für kreatives Styling.
Powder Wax,powder-wax,Wachs & Pomaden,Ultraleichtes Volumen & Griff.
Face & Body Scrub,face-body-scrub,Gesicht & Körper,"Porentief rein, glatteres Hautbild."
Peel-Off Maske,peel-off-maske,Gesicht & Körper,Tiefenreinigung & Klarheit.
3-in-1 Brightening/Whitening,brightening-3in1,Gesicht & Körper,Aufhellende Pflege für ein ebenmäßiges Hautbild.
Tanning Oil,tanning-oil,Gesicht & Körper,Sommerlicher Glow mit Pflege.
Beard Kit 3-in-1,beard-kit-3in1,Sets & Kits,Essentials für den Einstieg – ideal zum Verschenken.
Beard Kit 6-in-1,beard-kit-6in1,Sets & Kits,Komplettausstattung für die Bartpflege.
Kamm & Bürste,kamm-buerste,Zubehör,Sauberes Styling und Pflege für Bart & Haar.
